date,city,aqi,pm25,pm10,temp,humidity,wind_speed,rain,dow,month,is_weekend,is_winter,festival_season,school_day,traffic_level,construction_activity,target_aqi_next_day
2024-01-01,Beijing,197,96.8,35.4,29.9,32,1.8,0.0,0,1,0,1,0,1,2,2,269.0
2024-01-02,Beijing,269,184.4,198.7,38.4,16,0.7,0.0,1,1,0,1,0,1,2,2,140.0
2024-01-03,Beijing,140,154.6,197.4,18.3,52,0.9,0.0,2,1,0,1,0,1,2,2,175.0
2024-01-04,Beijing,175,72.1,173.3,19.3,15,1.2,0.0,3,1,0,1,0,1,2,2,147.0
2024-01-05,Beijing,147,218.2,55.4,30.1,78,13.7,0.0,4,1,0,1,0,1,2,2,105.0
2024-01-06,Beijing,105,142.7,28.2,1.7,55,10.4,0.0,5,1,1,1,0,0,0,2,100.0
2024-01-07,Beijing,100,52.1,103.1,-9.7,10,8.8,0.0,6,1,1,1,0,0,0,2,283.0
2024-01-08,Beijing,283,122.4,24.7,8.7,59,2.3,0.0,0,1,0,1,0,1,2,2,246.0
2024-01-09,Beijing,246,54.2,18.8,18.1,19,14.9,0.0,1,1,0,1,0,1,2,2,157.0
2024-01-10,Beijing,157,205.8,225.7,10.9,14,13.9,0.0,2,1,0,1,0,1,2,2,150.0
2024-01-11,Beijing,150,100.7,15.8,-8.2,37,3.0,0.0,3,1,0,1,0,1,2,2,80.0
2024-01-12,Beijing,80,69.4,252.4,3.2,82,11.2,0.0,4,1,0,1,0,1,2,2,219.0
2024-01-13,Beijing,219,76.2,121.4,8.1,35,4.2,0.0,5,1,1,1,0,0,0,2,197.0
2024-01-14,Beijing,197,136.4,176.2,17.6,20,13.1,0.0,6,1,1,1,0,0,0,2,127.0
2024-01-15,Beijing,127,43.4,132.4,24.2,12,9.7,0.0,0,1,0,1,0,1,2,2,227.0
2024-01-16,Beijing,227,202.5,182.8,30.9,81,13.4,0.0,1,1,0,1,0,1,2,2,111.0
2024-01-17,Beijing,111,201.0,25.6,-7.2,90,3.5,0.0,2,1,0,1,0,1,2,2,181.0
2024-01-18,Beijing,181,222.1,30.9,32.0,46,3.2,0.0,3,1,0,1,0,1,2,2,149.0
2024-01-19,Beijing,149,243.8,269.9,-6.9,86,5.8,0.0,4,1,0,1,0,1,2,2,138.0
2024-01-20,Beijing,138,167.7,294.0,35.9,60,7.3,0.0,5,1,1,1,0,0,0,2,174.0
2024-01-21,Beijing,174,38.3,140.2,34.3,85,6.0,0.0,6,1,1,1,0,0,0,2,173.0
2024-01-22,Beijing,173,174.3,126.6,-7.7,35,13.0,0.0,0,1,0,1,0,1,2,2,39.0
2024-01-23,Beijing,39,18.9,150.3,1.6,66,13.1,0.0,1,1,0,1,0,1,2,2,281.0
2024-01-24,Beijing,281,18.2,183.3,-0.8,64,4.6,0.0,2,1,0,1,0,1,2,2,253.0
2024-01-25,Beijing,253,244.6,156.7,29.7,16,13.9,0.0,3,1,0,1,0,1,2,2,235.0
2024-01-26,Beijing,235,90.8,84.2,2.7,38,2.5,0.0,4,1,0,1,0,1,2,2,48.0
2024-01-27,Beijing,48,26.0,273.2,40.0,51,4.2,0.0,5,1,1,1,0,0,0,2,118.0
2024-01-28,Beijing,118,151.6,45.2,38.8,65,5.4,0.0,6,1,1,1,0,0,0,2,131.0
2024-01-29,Beijing,131,62.3,237.1,29.5,51,2.4,0.0,0,1,0,1,0,1,2,2,176.0
2024-01-30,Beijing,176,126.2,195.7,27.0,66,0.8,0.0,1,1,0,1,0,1,2,2,209.0
2024-01-31,Beijing,209,145.1,114.6,-2.5,20,9.1,0.0,2,1,0,1,0,1,2,2,123.0
2024-02-01,Beijing,123,28.8,19.0,-7.4,15,3.3,0.0,3,2,0,1,0,1,2,2,132.0
